customerId,itemName,value
1875,Mentos Fruit Flavour,1.0
1875,Sun Prawn Crackers Chips - 20gm,2.0
1875,Hubba Bubba Mega Gum-56gm,1.0
1875,Zess Cheese Cracker-153gm,1.0
1875,RFL Trim Square Container 200ml- Trans,1.0
1875,Nestle KitKat White Chocolate-41.5g,2.0
1875,Maggi Saad -E -Magic S Mix-48g,1.0
1875,KurKure Cream & Onion 37gm,1.0
1875,Sun Chips Garlic & Chili 38g,2.0
1890,Cumin-200gm,1.0
1890,Fresh Soyabean Oil-1Lt.,1.0
1890,Ginger Barmiz-(Kg),0.67
1890,Pabda Fish (Small) (HB),0.68
1890,Parboil (Potol)-kg,1.45
1890,Bashundhara Atta-2kg,2.0
1890,Oreo Original Biscuits- 46.3/50gm,2.0
1890,Pusti Deshi Red Lentils(Mushur Dal) -1Kg,1.0
1890,M & M Gems Chocolate - 45g,1.0
1890,Arla Dano Daily Pushti-500gm,1.0
1890,Potato Deshi New-1kg,3.95
1890,Beef Without Bone Special,1.48
1890,Brinjal (Oval) Big-kg,0.93
1890,Usta(kg),0.52
1890,G H. Chicken Shami Kabab - 250gm,2.0
1890,Beef Bone Full,0.55
1890,Jhinga(kg),0.99
1890,Seylon Family Blend Tea-200g,1.0
1890,Marks FCMP-1Kg(F.Pack),1.0
1890,Sunsilk conditioner Perfect Straight-80m,1.0
1890,Belleame Dry Cake Biscuit-325gm,1.0
1890,Shrimp Fish Bagda,0.74
1890,Vangon Fish(Big),1.53
1890,Akher Sugar -1kg,1.0
1890,Sunshine Muri-500gm,1.0
1890,Milk Vita Liquid Milk-1Ltr,4.0
1890,Tatkini Fish River(HB),0.78
1890,Tomato L.C(kg),0.6
1890,Oreo Choco Cream Biscuits-120gm,1.0
1890,Sunsilk Black Shine Shampoo-330ml,1.0
1890,Ayir Fish (Small)-(HB),1.69
1890,Mug Pulse (Sona)-1kg,1.0
1890,Garlic China Big-(kg),0.69
1890,Chicken (Deshi),2.13
1890,Potato Jam,1.16
1890,Ladies Finger (Vendi)-kg,0.45
1890,Dan Cake-Tiramisu Plain Cake 360gm,1.0
1890,ACI Pure Salt-1Kg,1.0
1890,Teer Fortified Soyabean Oil 3Ltr,1.0
1890,Onion Deshi(New)-kg,4.12
1890,Gulsha Fish(Small)-(HB),0.76
1890,Coca Cola-2.25Lt(Pet),1.0
1890,Energy Plus Biscuit - 62gm,1.0
1893,Milk Vita Liquid Milk-1Ltr,4.0
1893,Amul Kool Kesar-180ml,1.0
1893,Sajeed ChocoMoo Chocolet-135g,1.0
1893,Fresh Ins. Noodles Masala (B2G1)-496gm,1.0
1893,Cumin Powder-100gm,1.0
1893,Egg & Chicken Masala Noodles FG (Egg),2.0
1893,Angelic Air Fresh-300ml Sparkling,1.0
1893,Prince Sour Curd-500gm,1.0
1893,Bounce Choco Cream Biscuits-32gm,2.0
1893,Rin Advanced-2kg,1.0
1893,Fresh Salt Premium-1kg,2.0
1935,Surf Excel With Aloe Vera wash-500g,1.0
1935,Coconut Powder (Cake Decoration)-50g,1.0
1935,Marks Cookies & Cream Flavour - 200ml,1.0
1935,Olympic Energy Plus Malai Bis-45gm,2.0
1935,Rupchanda Soya-1Ltr(PET),2.0
1935,G. Naturals Bargundy-20ml,1.0
1935,Fresh Fun Fill (Chocolate) Biscuits-44g,2.0
1935,radhuni custard powder,1.0
1935,Marks Milk Shake AS-200ml,1.0
1935,Milk Vita Butter-200g,1.0
1935,Prince Square Toast-250gm,1.0
1935,Egg & Chicken Masala Noodles FG (Egg),2.0
1935,Akher Sugar -1kg,1.0
1935,Chanachur(Special)-350gm,1.0
1935,Cocola Egg Noodles-170g,2.0
1935,Olympic Salcoti Elachi Cookies-80gm,1.0
1935,Nescafe Classic Coffee-50gm,1.0
1937,Oreo Choco Creme Biscuits-43.75g,1.0
1937,Dal Puri-454gm,2.0
1937,Chia Seed (Dana) New-100g,1.0
1937,Maggi Vegetable Soup 4Pcs-25gm,1.0
1937,Ruchi Chanachur Hot-150gm,1.0
1937,F Clarks Ess 28ml(Vanilla),1.0
1937,China Foam Majuni (4/23),1.0
1937,Knorr Thai Soup- 28g,2.0
1937,AJI-No-Moto Tasting Salt-42g,1.0
1937,Knorr Chicken Hot & Sour Soup- 28g,2.0
1938,BD Haleem Mix(175g),1.0
1938,Lichu Pitha Box-200gm,1.0
1938,Chicken Deshi (Pakistani) Cock,2.0
1938,Kolson Macarony-200gm All Flv.,1.0
1938,Prince Square Toast-250gm,1.0
1938,Organikare(Orange Hand Wash +Refil)Combo,1.0
1938,Amon Rice -Kg (Lose),1.01
1938,Mr.Cookie- 39gm Small,2.0
1938,Alu Bukhra-100g,1.0
1938,Akher Sugar -2kg,1.0
1938,Maggi Noodles Masala Blast-252g 4Pack,1.0
1938,Prince Cone Mehedi,2.0
1938,Revival Karak Masala Chai -200g,1.0
1938,Kath Badam-100g,1.0
1938,NAJ baby Toast Biscuits -300gm,1.0
1938,Dried Chilli-200gPkt,1.0
1938,Coriender-200gm,1.0
1938,Harpic 1Ltr + Lizol 1Ltr -60TK Off,1.0
1938,Starship FCMP-500gm (F.Pack),1.0
1938,Ramisa-Jhinuk Pitha Box-250gm,1.0
1938,Beef Bone Full,1.12
1938,Lassa Special Semai-500g(Pkt),1.0
1938,Quaker Whole Oats- 700g,1.0
1938,Misti Sob-100gm,1.0
1938,Danish Condensed Milk-397gm,1.0
1938,Dano Instant -500g Pack,1.0
1938,RD Milk Strawberry-200ml,2.0
1938,CBL Munchee Choco.Mo Biscuits-90g,2.0
1938,Vegetable Roll,1.0
1938,Poa Fish Small-(Deshi),0.64
1938,Fresh Beet-Kg,0.77
1938,Jet Classic Detergent -1000gm Ploy,2.0
1938,Ramdhoni-50gm,1.0
1938,Golden Raising-100gm(Kismis),1.0
1938,Vim Dishwashing Liquid- 500ml,1.0
1938,Hot Pran Tomato Sauce-500gm,1.0
1938,Radhuni Musterd Oil 250ml,1.0
1938,Revive Powder Sun Block-200gm,1.0
1938,Prince Lacha Samai-200g(Pkt),1.0
1938,Funtastic Backmans Glaze Biscuit-40gm,2.0
1938,Dan Cake-Chocolate Swiss Roll 200gm,1.0
1938,Arong UHT FC Milk-200ml (Fino),4.0
1938,Aarong Ghee 200g,1.0
1938,Kaveri Mehendi Cone 2pcs -25g,3.0
1938,Prince Special Chanachur-150gm,1.0
1938,Kishwan Ovaltin Biscuits-350gm,1.0
1938,Cadbury Dairy Milk Roast Almond-58g,1.0
1938,Aarong Butter Salted-100gm,1.0
1938,Yum Muffin Cake,4.0
1938,White bread Small-300gm,1.0
1938,Wheel 2in1 Clean & Fresh Powder-1Kg,1.0
1938,BD Kheer Mix-150g,2.0
1938,Mixed Masalla-100gm,1.0
1938,Special Chinigura Rice-1Kg,2.0
1938,Belleame Digestive Biscuit- 135g,2.0
1938,Cow Lever-K,2.04
1938,Rupchanda(Small) (THR),0.47
1938,RD Milk Banana-200ml,2.0
1938,Chopstick Desi/Yumy Masala Noodles-4pack,1.0
1938,Danish Dry Cake Biscuits-350gm,1.0
1938,China Punch Clip(05/23),2.0
1938,BD Turmeric Powder(200gm),1.0
1938,BD Chilli Powder (100gm),1.0
1938,Prince Sour Curd-500gm,1.0
1938,Pran Dhaka Cheese-200gm,1.0
1938,Pangas Fish-(Deshi),1.69
1938,Prince Coconut-(pcs),2.0
1938,Mountain Dew-600ml Pet,1.0
1938,Fresh Ins. Noodles Masala (B2G1)-496gm,1.0
1938,Nankhatai Biscuit-200g,1.0
1938,Cadbury Dairy Milk Silk Hazelnut-58g,1.0
1938,Ispahani Butterful Biscuit- 75g,2.0
1938,Rin Liquid-400ml,1.0
1938,Farm Fresh Butter-200gm Box (50X4pcs),1.0
1938,CBL Munchee Nice Biscuit-230g (Premium),1.0
1938,CBL Munchee Chunky Choc-90g,1.0
1938,Blue Lady Deo Roll-On 50ml (Rasasi),1.0
1938,Gluco Max D- 400g,1.0
1938,Ramisa-Nakshi Pitha Box-4 Pcs,1.0
1938,White Kazu Badam-50g,1.0
1938,RD Chocolate Milk -200ml,3.0
1938,China Basin Brush (4/23),1.0
1938,China Jhilmil Majuni (4/23),1.0
1931,Himalaya Anti-Dandruff S&M Shampoo-375ml,1.0
1931,Fair&Lovely Ayurvedic Care Cream-50g,1.0
1931,China Football-(5/23),1.0
1939,Radhuni Mejbani Beef masala-68g,1.0
1939,Radhuni Korma Masala- 30gm,1.0
1939,Bit Salt Powder- 80g Bottle,1.0
1939,Foster Baking Powder-110g,1.0
1939,Kolson Vermicelli-200g,2.0
1939,Feeding Bottle Wash-700ml(BF-200),1.0
1939,Dream Food Colour(Blue)-28ml,1.0
1939,Chat Masala-40gm,1.0
1939,Alu Bukhra-100g,1.0
1939,R.Spices(Turmeric)200gm,1.0
1939,Pedia Sure (Vanilla Flavour) Milk -400g,1.0
