262,Milk Bread (350gm),FG1001,FG1001
263,Baked Cheese Cake 500gm,FG4012,FG4012
264,Baked Cheese Cake 1Kg,FG4011,FG4011
265,Chocolate Vermicelli cake 500 gm,FG4010,FG4010
266,Chocolate Vermicelli cake 1 kg,FG4009,FG4009
267,Black Forest Cake 500gm,FG4008,FG4008
268,Black Forest Big 1Kg,FG4007,FG4007
269,White Forest Cake 500gm,FG4006,FG4006
270,White Forest Cake 1kg,FG4005,FG4005
271,Chocolate cake 500 gm,FG4004,FG4004
272,Chocolate cake  1 kg,FG4003,FG4003
273,Vanilla Cake 500gm,FG4002,FG4002
274,Vanilla Cake 1Kg,FG4001,FG4001
275,Plain Cake 375gm,FG3004,FG3004
276,Ovaltine Cake 375gm,FG3003,FG3003
277,Fruits Cake 375gm,FG3002,FG3002
278,"Chocolate Brownie Cake 375gm ",FG3001,FG3001
279,Pita Bite,FG2041,FG2041
280,"Shami Kebab ",FG2040,FG2040
281,Pakora,FG2039,FG2039
282,Baked garlic Chicken (Semi Quarter),FG2038,FG2038
283,"Chicken Finger ",FG2037,FG2037
284,Choco Vanilla Cake 1kg,FG4013,FG4013
285,Peshwari Chapli Kebab (Fry),FG2036,FG2036
286,Choco Vanilla Cake 500gm,FG4014,FG4014
287,Marble Cake 500gm,FG4016,FG4016
288,Opera cake 1200gm,FG4037,FG4037
289,Red Velvet Cake 700gm,FG4036,FG4036
290,Red Velvet Cake 1100gm,FG4035,FG4035
291,Biscuti Chocolate Cake 600 (gm),FG4034,FG4034
292,Banana Cake 500gm,FG4033,FG4033
293,Banana Cake1kg,FG4032,FG4032
294,premium Chocolate heart shaped 5500gm,FG4031,FG4031
295,Order cake,FG4030,FG4030
296,Strawberry Cake mini,FG4029,FG4029
297,"Chocolate Cake Mini ",FG4028,FG4028
298,Vanilla Cake Mini,FG4027,FG4027
299,Decadent chocolate Cake 700gm,FG4026,FG4026
300,Decadent chocolate Cake 1kg,FG4025,FG4025
301,Moist Cake 700gm,FG4024,FG4024
302,Moist Cake 1300gm,FG4023,FG4023
303,Melted Chocolate 500gm,FG4022,FG4022
304,Melted Chocolate 1kg,FG4021,FG4021
305,Strawberry Cake 500gm,FG4020,FG4020
306,Strawberry Cake 1kg,FG4019,FG4019
307,Chocolate Praline Cake 500gm,FG4018,FG4018
308,Chocolate Praline Cake 1Kg,FG4017,FG4017
309,Marble Cake 1kg,FG4015,FG4015
310,Lebanese Kibbeh,FG2035,FG2035
311,Tana parota,FG2034,FG2034
312,Chicken Saslik,FG2033,FG2033
313,Beef Patties,FG2006,FG2006
314,Vegetable Sandwich,FG2005,FG2005
315,"Roasted Chicken Sandwich ",FG2004,FG2004
316,Club Sandwich,FG2003,FG2003
317,"Chicken Tikka Sandwich ",FG2002,FG2002
318,Chicken Sandwich,FG2001,FG2001
319,Fancy Bread 800gm,FG1016,FG1016
320,Fancy Bread 700gm,FG1015,FG1015
321,Fancy Bread 1100 gm,FG1014,FG1014
322,Fancy Bread 1200gm,FG1013,FG1013
323,Fancy Bread 1000gm,FG1012,FG1012
324,Fancy Bread 900gm,FG1011,FG1011
325,Custerd Bun,FG1010,FG1010
326,Sub Bun (180 to 200gm),FG1009,FG1009
327,Burger Bun (60gm),FG1008,FG1008
328,Mini Burger Bun,FG1007,FG1007
329,"Cream Cherry Bun ",FG1006,FG1006
330,Butter Naan (2pc),FG1005,FG1005
331,Butter Bun (100 to 110gm),FG1004,FG1004
332,White Bread (350gm),FG1003,FG1003
333,Sandwich Bread (600gm),FG1002,FG1002
334,Beef Puff Roll,FG2007,FG2007
335,Chicken Balibao,FG2008,FG2008
336,Chicken Lollipop,FG2009,FG2009
337,Chicken Lollipop (Suace),FG2010,FG2010
338,BBQ Chicken Wings (6pcs),FG2032,FG2032
339,"Crispy Chicken Burger ",FG2031,FG2031
340,Chicken Sufficient Burger,FG2030,FG2030
341,"Chicken Patty Burger ",FG2029,FG2029
342,Chicken Cheese Burger,FG2028,FG2028
343,Mini Burger,FG2027,FG2027
344,Korean Sausage Delight,FG2026,FG2026
345,Chicken Cheese Bread,FG2025,FG2025
346,Russian Chicken Bread,FG2024,FG2024
347,"Tandoori Chicken ",FG2023,FG2023
348,"Opera cake 650gm ",FG4038,FG4038
349,Slice Pizza,FG2022,FG2022
350,Grilled Chicken Roll,FG2020,FG2020
351,French Pizza,FG2019,FG2019
352,Chicken Spring Roll,FG2018,FG2018
353,Chicken Shawarma,FG2017,FG2017
354,Chicken Puff Roll,FG2016,FG2016
355,Chicken Pie,FG2015,FG2015
356,"Chicken Patties ",FG2014,FG2014
357,Chicken Paratha,FG2013,FG2013
358,Chicken Onion Roll,FG2012,FG2012
359,Chicken Meatloaf,FG2011,FG2011
360,Roasted Pizza,FG2021,FG2021
361,Cheese Cake 1kg,FG4039,FG4039
362,Box,10001,1009
363,Bottle,10002,1010
364,Pot,10003,9310079305748
365,Bin,10004,10004
366,Butter Bun,10005,10005
367,Butter Biscuit,10006,10006
368,Butter,10007,10000000000002
369,Bread,10008,10008
370,"Honey ",10009,10009
371,Honey  Bun,10010,10010
373,Sweet Cake -250gm,GOR000001,GOR000001
374,Lemon,GOR000002,GOR000002
375,Ginger,GOR000003,GOR000003
376,"Boro Plus ",GOR000004,GOR000004
377,Money Plant,GOR000005,GOR000005
382,Pen,GOR000006,GOR000006
383,Pencil,GOR000007,GOR000007
384,Water Bottol,GOR000008,GOR000008
385," Bottol Body",BBT000001,BBT000001
386," Bottol cover",BBT000002,BBT000002
387," Bottol stiker",BBT000003,BBT000003
390,"Vanilla Sponge 1/2 kg	",32323,32323
391,White Ganash,323234,323234
392,Butter Creem,3232345,3232345
398,500ml Rivera Packaged Drinking Water,8941189604028,8941189604028
399,Sugar-500gm,5001,5001
400,Neoceptine-250mg,5002,5002
401,Star Ship Condensed Milk,5003,5003
402,speed cola-500ml,5004,5004
403,"Akij Cement ",6001,6001
404,Test Item001,224000002,224000002
406,Abul Khair Ispat,224000003,224000003
407,Cheese Cake,1001,1001
408,Butter Cake,1002,1002
409,Vanila Cake,1003,1003
410,Chocolate Cake,1004,1004
411,Black Berry Cake,1005,1005
412,Red Velvet Cake,1006,1006
413,Mango Cake,1007,1007
414,Orange Cake,1008,1008
